  Registered nvfp4_bench::_scaled_mm
Total configurations to benchmark: 502
Unique M values: 251
  Reference time: 0.3365 ms
  Best time: 0.5671 ms
  Registered time: 0.5661 ms
  Registration overhead: -0.0011 ms
m=120560, n=1408, k=2048, l=1
  Reference time: 0.3676 ms
  Best time: 0.5558 ms
  Registered time: 0.5557 ms
  Registration overhead: -0.0000 ms
m=90776, n=1408, k=2048, l=1
  Reference time: 0.2876 ms
  Best time: 0.4207 ms
  Registered time: 0.4209 ms
  Registration overhead: 0.0002 ms
m=81968, n=1408, k=2048, l=1
  Reference time: 0.2627 ms
  Best time: 0.3842 ms
  Registered time: 0.3842 ms
  Registration overhead: -0.0000 ms
m=93688, n=1408, k=2048, l=1
  Reference time: 0.2942 ms
  Best time: 0.4346 ms
  Registered time: 0.4344 ms
  Registration overhead: -0.0002 ms
m=103928, n=2048, k=1408, l=1
  Reference time: 0.3526 ms
  Best time: 0.6162 ms
  Registered time: 0.6130 ms
  Registration overhead: -0.0032 ms
m=98672, n=1408, k=2048, l=1
  Reference time: 0.3106 ms
  Best time: 0.4578 ms
  Registered time: 0.4573 ms
  Registration overhead: -0.0005 ms
m=79632, n=1408, k=2048, l=1
  Reference time: 0.2572 ms
  Best time: 0.3747 ms
  Registered time: 0.3747 ms
  Registration overhead: -0.0001 ms
m=107056, n=2048, k=1408, l=1
  Reference time: 0.3656 ms
  Best time: 0.6369 ms
  Registered time: 0.6313 ms
  Registration overhead: -0.0055 ms
m=87352, n=2048, k=1408, l=1
  Reference time: 0.3059 ms
  Best time: 0.5279 ms
  Registered time: 0.5248 ms
  Registration overhead: -0.0031 ms
m=91880, n=1408, k=2048, l=1
  Reference time: 0.2955 ms
  Best time: 0.4264 ms
  Registered time: 0.4265 ms
  Registration overhead: 0.0001 ms
m=101712, n=2048, k=1408, l=1
  Reference time: 0.3563 ms
  Best time: 0.6104 ms
  Registered time: 0.6017 ms
  Registration overhead: -0.0087 ms
m=100864, n=1408, k=2048, l=1
  Reference time: 0.3025 ms
  Best time: 0.4678 ms
  Registered time: 0.4676 ms
  Registration overhead: -0.0003 ms
m=89488, n=2048, k=1408, l=1
  Reference time: 0.3119 ms
  Best time: 0.5349 ms
  Registered time: 0.5350 ms
  Registration overhead: 0.0001 ms
m=103920, n=2048, k=1408, l=1
  Reference time: 0.3577 ms
  Best time: 0.6133 ms
  Registered time: 0.6127 ms
  Registration overhead: -0.0006 ms
m=40496, n=2048, k=1408, l=1
  Reference time: 0.2241 ms
  Best time: 0.2397 ms
  Registered time: 0.2397 ms
  Registration overhead: -0.0000 ms
m=140416, n=2048, k=1408, l=1
  Reference time: 0.4584 ms
  Best time: 0.8322 ms
  Registered time: 0.8192 ms
  Registration overhead: -0.0130 ms
m=67080, n=2048, k=1408, l=1
  Reference time: 0.2487 ms
  Best time: 0.4075 ms
  Registered time: 0.4075 ms
  Registration overhead: -0.0000 ms
m=93792, n=1408, k=2048, l=1
  Reference time: 0.2929 ms
  Best time: 0.4365 ms
  Registered time: 0.4364 ms
  Registration overhead: -0.0001 ms
m=99296, n=2048, k=1408, l=1
  Reference time: 0.3383 ms
  Best time: 0.5881 ms
  Registered time: 0.5878 ms
  Registration overhead: -0.0003 ms
m=121032, n=1408, k=2048, l=1
  Reference time: 0.3664 ms
  Best time: 0.5590 ms
  Registered time: 0.5592 ms
  Registration overhead: 0.0001 ms
m=121056, n=2048, k=1408, l=1
  Reference time: 0.4082 ms
  Best time: 0.7096 ms
  Registered time: 0.7090 ms
  Registration overhead: -0.0007 ms
m=73736, n=2048, k=1408, l=1
  Reference time: 0.2653 ms
  Best time: 0.4496 ms
  Registered time: 0.4486 ms
  Registration overhead: -0.0010 ms
m=101504, n=2048, k=1408, l=1
  Reference time: 0.3342 ms
  Best time: 0.6055 ms
  Registered time: 0.6000 ms
  Registration overhead: -0.0055 ms
m=98648, n=1408, k=2048, l=1
  Reference time: 0.3138 ms
  Best time: 0.4574 ms
  Registered time: 0.4573 ms
  Registration overhead: -0.0001 ms
m=71144, n=2048, k=1408, l=1
  Reference time: 0.2590 ms
  Best time: 0.4296 ms
  Registered time: 0.4293 ms
  Registration overhead: -0.0003 ms
m=73384, n=1408, k=2048, l=1
  Reference time: 0.2424 ms
  Best time: 0.3485 ms
  Registered time: 0.3486 ms
  Registration overhead: 0.0001 ms
m=81416, n=1408, k=2048, l=1
  Reference time: 0.2661 ms
  Best time: 0.3819 ms
  Registered time: 0.3819 ms
  Registration overhead: -0.0000 ms
m=81664, n=2048, k=1408, l=1
  Reference time: 0.2772 ms
  Best time: 0.4931 ms
  Registered time: 0.4885 ms
  Registration overhead: -0.0046 ms
m=121912, n=1408, k=2048, l=1
  Reference time: 0.3647 ms
  Best time: 0.5661 ms
  Registered time: 0.5634 ms
  Registration overhead: -0.0027 ms
m=87256, n=2048, k=1408, l=1
  Reference time: 0.3063 ms
  Best time: 0.5256 ms
  Registered time: 0.5223 ms
  Registration overhead: -0.0033 ms
m=85064, n=1408, k=2048, l=1
  Reference time: 0.2747 ms
  Best time: 0.3969 ms
  Registered time: 0.3970 ms
  Registration overhead: 0.0000 ms
m=101688, n=2048, k=1408, l=1
  Reference time: 0.3462 ms
  Best time: 0.6023 ms
  Registered time: 0.6014 ms
  Registration overhead: -0.0008 ms
m=66248, n=2048, k=1408, l=1
  Reference time: 0.2453 ms
  Best time: 0.4023 ms
  Registered time: 0.4012 ms
  Registration overhead: -0.0011 ms
m=82928, n=2048, k=1408, l=1
  Reference time: 0.2975 ms
  Best time: 0.4992 ms
  Registered time: 0.4993 ms
  Registration overhead: 0.0001 ms
m=87840, n=2048, k=1408, l=1
  Reference time: 0.3030 ms
  Best time: 0.5252 ms
  Registered time: 0.5240 ms
  Registration overhead: -0.0012 ms
m=109240, n=1408, k=2048, l=1
  Reference time: 0.3391 ms
  Best time: 0.5056 ms
  Registered time: 0.5056 ms
  Registration overhead: -0.0001 ms
m=90416, n=2048, k=1408, l=1
  Reference time: 0.3130 ms
  Best time: 0.5401 ms
  Registered time: 0.5390 ms
  Registration overhead: -0.0011 ms
m=106408, n=1408, k=2048, l=1
  Reference time: 0.3357 ms
  Best time: 0.4928 ms
  Registered time: 0.4927 ms
  Registration overhead: -0.0001 ms
m=76176, n=2048, k=1408, l=1
  Reference time: 0.2716 ms
  Best time: 0.4596 ms
  Registered time: 0.4590 ms
  Registration overhead: -0.0006 ms
m=67080, n=1408, k=2048, l=1
  Reference time: 0.2255 ms
  Best time: 0.3191 ms
  Registered time: 0.3191 ms
  Registration overhead: 0.0000 ms
m=115392, n=1408, k=2048, l=1
  Reference time: 0.3564 ms
  Best time: 0.5396 ms
  Registered time: 0.5323 ms
  Registration overhead: -0.0074 ms
m=55248, n=1408, k=2048, l=1
  Reference time: 0.2202 ms
  Best time: 0.3667 ms
  Registered time: 0.2644 ms
  Registration overhead: -0.1023 ms
m=128400, n=2048, k=1408, l=1
  Reference time: 0.4296 ms
  Best time: 0.7560 ms
  Registered time: 0.7512 ms
  Registration overhead: -0.0048 ms
m=55432, n=1408, k=2048, l=1
  Reference time: 0.2419 ms
  Best time: 0.2657 ms
  Registered time: 0.2655 ms
  Registration overhead: -0.0001 ms
m=126104, n=1408, k=2048, l=1
  Reference time: 0.3801 ms
  Best time: 0.5823 ms
  Registered time: 0.5825 ms
  Registration overhead: 0.0002 ms
m=66176, n=1408, k=2048, l=1
  Reference time: 0.2096 ms
  Best time: 0.3131 ms
  Registered time: 0.3132 ms
  Registration overhead: 0.0002 ms
m=78920, n=1408, k=2048, l=1
  Reference time: 0.2549 ms
  Best time: 0.3709 ms
  Registered time: 0.3704 ms
  Registration overhead: -0.0005 ms
m=102400, n=1408, k=2048, l=1
  Reference time: 0.3101 ms
  Best time: 0.4796 ms
  Registered time: 0.4731 ms
  Registration overhead: -0.0064 ms
m=63752, n=2048, k=1408, l=1
  Reference time: 0.2394 ms
  Best time: 0.3873 ms
  Registered time: 0.3870 ms
  Registration overhead: -0.0002 ms
m=102616, n=1408, k=2048, l=1
  Reference time: 0.3187 ms
  Best time: 0.4752 ms
  Registered time: 0.4752 ms
  Registration overhead: 0.0000 ms
m=112232, n=1408, k=2048, l=1
  Reference time: 0.3451 ms
  Best time: 0.5190 ms
  Registered time: 0.5190 ms
  Registration overhead: -0.0000 ms
m=139872, n=2048, k=1408, l=1
  Reference time: 0.4671 ms
  Best time: 0.8337 ms
  Registered time: 0.8480 ms
  Registration overhead: 0.0143 ms
m=100840, n=2048, k=1408, l=1
  Reference time: 0.3426 ms
  Best time: 0.6072 ms
  Registered time: 0.5978 ms
  Registration overhead: -0.0094 ms
m=87176, n=2048, k=1408, l=1
  Reference time: 0.3063 ms
  Best time: 0.5251 ms
  Registered time: 0.5220 ms
  Registration overhead: -0.0030 ms
m=128344, n=2048, k=1408, l=1
  Reference time: 0.4373 ms
  Best time: 0.7583 ms
  Registered time: 0.7514 ms
  Registration overhead: -0.0070 ms
m=114664, n=1408, k=2048, l=1
  Reference time: 0.3672 ms
  Best time: 0.5346 ms
  Registered time: 0.5290 ms
  Registration overhead: -0.0056 ms
m=104280, n=1408, k=2048, l=1
  Reference time: 0.3248 ms
  Best time: 0.4831 ms
  Registered time: 0.4830 ms
  Registration overhead: -0.0001 ms
m=86464, n=1408, k=2048, l=1
  Reference time: 0.2728 ms
  Best time: 0.4051 ms
  Registered time: 0.4050 ms
  Registration overhead: -0.0000 ms
m=102296, n=2048, k=1408, l=1
  Reference time: 0.3481 ms
  Best time: 0.6081 ms
  Registered time: 0.6060 ms
  Registration overhead: -0.0021 ms
m=126048, n=1408, k=2048, l=1
  Reference time: 0.3913 ms
  Best time: 0.5824 ms
  Registered time: 0.5817 ms
  Registration overhead: -0.0007 ms
m=91472, n=2048, k=1408, l=1
  Reference time: 0.3178 ms
  Best time: 0.5506 ms
  Registered time: 0.5469 ms
  Registration overhead: -0.0037 ms
m=97000, n=1408, k=2048, l=1
  Reference time: 0.3055 ms
  Best time: 0.4503 ms
  Registered time: 0.4501 ms
  Registration overhead: -0.0002 ms
m=80528, n=1408, k=2048, l=1
  Reference time: 0.2590 ms
  Best time: 0.3786 ms
  Registered time: 0.3786 ms
  Registration overhead: -0.0001 ms
m=99000, n=2048, k=1408, l=1
  Reference time: 0.3392 ms
  Best time: 0.5935 ms
  Registered time: 0.5885 ms
  Registration overhead: -0.0050 ms
m=129936, n=2048, k=1408, l=1
  Reference time: 0.4324 ms
  Best time: 0.7726 ms
  Registered time: 0.7613 ms
  Registration overhead: -0.0113 ms
m=90416, n=1408, k=2048, l=1
  Reference time: 0.2839 ms
  Best time: 0.4209 ms
  Registered time: 0.4210 ms
  Registration overhead: 0.0001 ms
m=85064, n=2048, k=1408, l=1
  Reference time: 0.2989 ms
  Best time: 0.5097 ms
  Registered time: 0.5094 ms
  Registration overhead: -0.0002 ms
m=144960, n=2048, k=1408, l=1
  Reference time: 0.4764 ms
  Best time: 0.8499 ms
  Registered time: 0.8485 ms
  Registration overhead: -0.0014 ms
m=72840, n=2048, k=1408, l=1
  Reference time: 0.2640 ms
  Best time: 0.4405 ms
  Registered time: 0.4405 ms
  Registration overhead: -0.0000 ms
m=60752, n=1408, k=2048, l=1
  Reference time: 0.2271 ms
  Best time: 0.2913 ms
  Registered time: 0.2913 ms
  Registration overhead: 0.0000 ms
m=42736, n=2048, k=1408, l=1
  Reference time: 0.2246 ms
  Best time: 0.2578 ms
  Registered time: 0.2578 ms
  Registration overhead: 0.0000 ms
m=38776, n=1408, k=2048, l=1
  Reference time: 0.2278 ms
  Best time: 0.1847 ms
  Registered time: 0.1847 ms
  Registration overhead: -0.0000 ms
m=94344, n=1408, k=2048, l=1
  Reference time: 0.3016 ms
  Best time: 0.4378 ms
  Registered time: 0.4379 ms
  Registration overhead: 0.0001 ms
m=107224, n=2048, k=1408, l=1
  Reference time: 0.3628 ms
  Best time: 0.6391 ms
  Registered time: 0.6312 ms
  Registration overhead: -0.0079 ms
m=82928, n=1408, k=2048, l=1
  Reference time: 0.2665 ms
  Best time: 0.3874 ms
  Registered time: 0.3874 ms
  Registration overhead: -0.0001 ms
m=84856, n=2048, k=1408, l=1
  Reference time: 0.2991 ms
  Best time: 0.5120 ms
  Registered time: 0.5098 ms
  Registration overhead: -0.0022 ms
m=83832, n=1408, k=2048, l=1
  Reference time: 0.2688 ms
  Best time: 0.3918 ms
  Registered time: 0.3918 ms
  Registration overhead: -0.0000 ms
m=98880, n=2048, k=1408, l=1
  Reference time: 0.3415 ms
  Best time: 0.5873 ms
  Registered time: 0.5870 ms
  Registration overhead: -0.0003 ms
m=101784, n=2048, k=1408, l=1
  Reference time: 0.3452 ms
  Best time: 0.6023 ms
  Registered time: 0.6015 ms
  Registration overhead: -0.0009 ms
m=87952, n=1408, k=2048, l=1
  Reference time: 0.2743 ms
  Best time: 0.4110 ms
  Registered time: 0.4093 ms
  Registration overhead: -0.0017 ms
m=128344, n=1408, k=2048, l=1
  Reference time: 0.3963 ms
  Best time: 0.5974 ms
  Registered time: 0.5924 ms
  Registration overhead: -0.0050 ms
m=99424, n=2048, k=1408, l=1
  Reference time: 0.3407 ms
  Best time: 0.5946 ms
  Registered time: 0.5905 ms
  Registration overhead: -0.0040 ms
m=138144, n=1408, k=2048, l=1
  Reference time: 0.4143 ms
  Best time: 0.6407 ms
  Registered time: 0.6361 ms
  Registration overhead: -0.0046 ms
m=81256, n=1408, k=2048, l=1
  Reference time: 0.2648 ms
  Best time: 0.3811 ms
  Registered time: 0.3811 ms
  Registration overhead: -0.0000 ms
m=79360, n=2048, k=1408, l=1
  Reference time: 0.2685 ms
  Best time: 0.4795 ms
  Registered time: 0.4794 ms
  Registration overhead: -0.0001 ms
m=71144, n=1408, k=2048, l=1
  Reference time: 0.2373 ms
  Best time: 0.3376 ms
  Registered time: 0.3376 ms
  Registration overhead: 0.0001 ms
m=82552, n=1408, k=2048, l=1
  Reference time: 0.2678 ms
  Best time: 0.3859 ms
  Registered time: 0.3860 ms
  Registration overhead: 0.0001 ms
m=117448, n=2048, k=1408, l=1
  Reference time: 0.3940 ms
  Best time: 0.6908 ms
  Registered time: 0.6894 ms
  Registration overhead: -0.0014 ms
m=85536, n=1408, k=2048, l=1
  Reference time: 0.2682 ms
  Best time: 0.3995 ms
  Registered time: 0.3996 ms
  Registration overhead: 0.0001 ms
m=81272, n=2048, k=1408, l=1
  Reference time: 0.2915 ms
  Best time: 0.4873 ms
  Registered time: 0.4871 ms
  Registration overhead: -0.0002 ms
m=103640, n=2048, k=1408, l=1
  Reference time: 0.3568 ms
  Best time: 0.6164 ms
  Registered time: 0.6115 ms
  Registration overhead: -0.0049 ms
m=67216, n=2048, k=1408, l=1
  Reference time: 0.2473 ms
  Best time: 0.4073 ms
  Registered time: 0.4073 ms
  Registration overhead: 0.0000 ms
m=100536, n=2048, k=1408, l=1
  Reference time: 0.3479 ms
  Best time: 0.5963 ms
  Registered time: 0.5955 ms
  Registration overhead: -0.0008 ms
m=96656, n=1408, k=2048, l=1
  Reference time: 0.3047 ms
  Best time: 0.4495 ms
  Registered time: 0.4481 ms
  Registration overhead: -0.0015 ms
m=126488, n=1408, k=2048, l=1
  Reference time: 0.3810 ms
  Best time: 0.5866 ms
  Registered time: 0.5840 ms
  Registration overhead: -0.0026 ms
m=129584, n=2048, k=1408, l=1
  Reference time: 0.4302 ms
  Best time: 0.7627 ms
  Registered time: 0.7587 ms
  Registration overhead: -0.0040 ms
m=77504, n=1408, k=2048, l=1
  Reference time: 0.2444 ms
  Best time: 0.3642 ms
  Registered time: 0.3643 ms
  Registration overhead: 0.0001 ms
m=106432, n=1408, k=2048, l=1
  Reference time: 0.3259 ms
  Best time: 0.4932 ms
  Registered time: 0.4928 ms
  Registration overhead: -0.0004 ms
m=121912, n=2048, k=1408, l=1
  Reference time: 0.4100 ms
  Best time: 0.7154 ms
  Registered time: 0.7153 ms
  Registration overhead: -0.0001 ms
m=164816, n=2048, k=1408, l=1
  Reference time: 0.5344 ms
  Best time: 0.9731 ms
  Registered time: 0.9621 ms
  Registration overhead: -0.0110 ms
m=98760, n=1408, k=2048, l=1
  Reference time: 0.3138 ms
  Best time: 0.4582 ms
  Registered time: 0.4581 ms
  Registration overhead: -0.0001 ms
m=100528, n=2048, k=1408, l=1
  Reference time: 0.3474 ms
  Best time: 0.5985 ms
  Registered time: 0.5956 ms
  Registration overhead: -0.0029 ms
m=94192, n=1408, k=2048, l=1
  Reference time: 0.2941 ms
  Best time: 0.4372 ms
  Registered time: 0.4370 ms
  Registration overhead: -0.0002 ms
m=109752, n=2048, k=1408, l=1
  Reference time: 0.3716 ms
  Best time: 0.6453 ms
  Registered time: 0.6445 ms
  Registration overhead: -0.0009 ms
m=98192, n=2048, k=1408, l=1
  Reference time: 0.3383 ms
  Best time: 0.5841 ms
  Registered time: 0.5840 ms
  Registration overhead: -0.0001 ms
m=108616, n=2048, k=1408, l=1
  Reference time: 0.3754 ms
  Best time: 0.6545 ms
  Registered time: 0.6403 ms
  Registration overhead: -0.0142 ms
m=116568, n=1408, k=2048, l=1
  Reference time: 0.3608 ms
  Best time: 0.5386 ms
  Registered time: 0.5386 ms
  Registration overhead: 0.0000 ms
m=66424, n=2048, k=1408, l=1
  Reference time: 0.2463 ms
  Best time: 0.4025 ms
  Registered time: 0.4021 ms
  Registration overhead: -0.0004 ms
m=93880, n=2048, k=1408, l=1
  Reference time: 0.3259 ms
  Best time: 0.5637 ms
  Registered time: 0.5597 ms
  Registration overhead: -0.0041 ms
m=99952, n=2048, k=1408, l=1
  Reference time: 0.3466 ms
  Best time: 0.5939 ms
  Registered time: 0.5929 ms
  Registration overhead: -0.0011 ms
m=96104, n=1408, k=2048, l=1
  Reference time: 0.3059 ms
  Best time: 0.4461 ms
  Registered time: 0.4459 ms
  Registration overhead: -0.0002 ms
m=88104, n=1408, k=2048, l=1
  Reference time: 0.2827 ms
  Best time: 0.4110 ms
  Registered time: 0.4107 ms
  Registration overhead: -0.0002 ms
m=96848, n=2048, k=1408, l=1
  Reference time: 0.3342 ms
  Best time: 0.5765 ms
  Registered time: 0.5751 ms
  Registration overhead: -0.0015 ms
m=97072, n=1408, k=2048, l=1
  Reference time: 0.3047 ms
  Best time: 0.4518 ms
  Registered time: 0.4505 ms
  Registration overhead: -0.0013 ms
m=94112, n=2048, k=1408, l=1
  Reference time: 0.3293 ms
  Best time: 0.5601 ms
  Registered time: 0.5596 ms
  Registration overhead: -0.0005 ms
m=71456, n=1408, k=2048, l=1
  Reference time: 0.2344 ms
  Best time: 0.3384 ms
  Registered time: 0.3384 ms
  Registration overhead: 0.0000 ms
m=113800, n=2048, k=1408, l=1
  Reference time: 0.3853 ms
  Best time: 0.6770 ms
  Registered time: 0.6676 ms
  Registration overhead: -0.0094 ms
m=125656, n=1408, k=2048, l=1
  Reference time: 0.3847 ms
  Best time: 0.5824 ms
  Registered time: 0.5801 ms
  Registration overhead: -0.0023 ms
m=164816, n=1408, k=2048, l=1
  Reference time: 0.4913 ms
  Best time: 0.7656 ms
  Registered time: 0.7584 ms
  Registration overhead: -0.0073 ms
m=113576, n=2048, k=1408, l=1
  Reference time: 0.3842 ms
  Best time: 0.6679 ms
  Registered time: 0.6682 ms
  Registration overhead: 0.0003 ms
m=54520, n=1408, k=2048, l=1
  Reference time: 0.2173 ms
  Best time: 0.2630 ms
  Registered time: 0.2630 ms
  Registration overhead: 0.0000 ms
m=65000, n=2048, k=1408, l=1
  Reference time: 0.2393 ms
  Best time: 0.3953 ms
  Registered time: 0.3949 ms
  Registration overhead: -0.0004 ms
m=118472, n=2048, k=1408, l=1
  Reference time: 0.4032 ms
  Best time: 0.7015 ms
  Registered time: 0.6938 ms
  Registration overhead: -0.0077 ms
m=88496, n=2048, k=1408, l=1
  Reference time: 0.3108 ms
  Best time: 0.5314 ms
  Registered time: 0.5310 ms
  Registration overhead: -0.0005 ms
m=87248, n=1408, k=2048, l=1
  Reference time: 0.2742 ms
  Best time: 0.4063 ms
  Registered time: 0.4063 ms
  Registration overhead: 0.0000 ms
m=106184, n=2048, k=1408, l=1
  Reference time: 0.3632 ms
  Best time: 0.6280 ms
  Registered time: 0.6251 ms
  Registration overhead: -0.0029 ms
m=86112, n=1408, k=2048, l=1
  Reference time: 0.2718 ms
  Best time: 0.4016 ms
  Registered time: 0.4014 ms
  Registration overhead: -0.0002 ms
m=82752, n=1408, k=2048, l=1
  Reference time: 0.2590 ms
  Best time: 0.3863 ms
  Registered time: 0.3864 ms
  Registration overhead: 0.0001 ms
m=97000, n=2048, k=1408, l=1
  Reference time: 0.3387 ms
  Best time: 0.5778 ms
  Registered time: 0.5766 ms
  Registration overhead: -0.0012 ms
m=128400, n=1408, k=2048, l=1
  Reference time: 0.3972 ms
  Best time: 0.6019 ms
  Registered time: 0.5916 ms
  Registration overhead: -0.0103 ms
m=85800, n=1408, k=2048, l=1
  Reference time: 0.2841 ms
  Best time: 0.3995 ms
  Registered time: 0.3995 ms
  Registration overhead: -0.0000 ms
m=89344, n=1408, k=2048, l=1
  Reference time: 0.2730 ms
  Best time: 0.4150 ms
  Registered time: 0.4150 ms
  Registration overhead: -0.0001 ms
m=97816, n=2048, k=1408, l=1
  Reference time: 0.3369 ms
  Best time: 0.5867 ms
  Registered time: 0.5816 ms
  Registration overhead: -0.0051 ms
m=92560, n=1408, k=2048, l=1
  Reference time: 0.2898 ms
  Best time: 0.4298 ms
  Registered time: 0.4300 ms
  Registration overhead: 0.0001 ms
m=96208, n=1408, k=2048, l=1
  Reference time: 0.3071 ms
  Best time: 0.4466 ms
  Registered time: 0.4467 ms
  Registration overhead: 0.0001 ms
m=103928, n=1408, k=2048, l=1
  Reference time: 0.3264 ms
  Best time: 0.4809 ms
  Registered time: 0.4811 ms
  Registration overhead: 0.0002 ms
m=79752, n=2048, k=1408, l=1
  Reference time: 0.2868 ms
  Best time: 0.4780 ms
  Registered time: 0.4776 ms
  Registration overhead: -0.0004 ms
m=82664, n=2048, k=1408, l=1
  Reference time: 0.2935 ms
  Best time: 0.5054 ms
  Registered time: 0.4980 ms
  Registration overhead: -0.0074 ms
m=74160, n=1408, k=2048, l=1
  Reference time: 0.2408 ms
  Best time: 0.3504 ms
  Registered time: 0.3503 ms
  Registration overhead: -0.0001 ms
m=129936, n=1408, k=2048, l=1
  Reference time: 0.3965 ms
  Best time: 0.6047 ms
  Registered time: 0.5997 ms
  Registration overhead: -0.0050 ms
m=96752, n=1408, k=2048, l=1
  Reference time: 0.3066 ms
  Best time: 0.4491 ms
  Registered time: 0.4491 ms
  Registration overhead: -0.0001 ms
m=101568, n=1408, k=2048, l=1
  Reference time: 0.3095 ms
  Best time: 0.4720 ms
  Registered time: 0.4708 ms
  Registration overhead: -0.0011 ms
m=89232, n=1408, k=2048, l=1
  Reference time: 0.2819 ms
  Best time: 0.4154 ms
  Registered time: 0.4154 ms
  Registration overhead: -0.0000 ms
m=116168, n=1408, k=2048, l=1
  Reference time: 0.3638 ms
  Best time: 0.5372 ms
  Registered time: 0.5371 ms
  Registration overhead: -0.0000 ms
m=126488, n=2048, k=1408, l=1
  Reference time: 0.4195 ms
  Best time: 0.7436 ms
  Registered time: 0.7416 ms
  Registration overhead: -0.0020 ms
m=114664, n=2048, k=1408, l=1
  Reference time: 0.3871 ms
  Best time: 0.6747 ms
  Registered time: 0.6734 ms
  Registration overhead: -0.0014 ms
m=95600, n=1408, k=2048, l=1
  Reference time: 0.3037 ms
  Best time: 0.4439 ms
  Registered time: 0.4440 ms
  Registration overhead: 0.0001 ms
m=91880, n=2048, k=1408, l=1
  Reference time: 0.3204 ms
  Best time: 0.5497 ms
  Registered time: 0.5486 ms
  Registration overhead: -0.0011 ms
m=101568, n=2048, k=1408, l=1
  Reference time: 0.3531 ms
  Best time: 0.6030 ms
  Registered time: 0.6010 ms
  Registration overhead: -0.0019 ms
m=88104, n=2048, k=1408, l=1
  Reference time: 0.3082 ms
  Best time: 0.5295 ms
  Registered time: 0.5282 ms
  Registration overhead: -0.0013 ms
m=104800, n=1408, k=2048, l=1
  Reference time: 0.3209 ms
  Best time: 0.4873 ms
  Registered time: 0.4843 ms
  Registration overhead: -0.0030 ms
m=81256, n=2048, k=1408, l=1
  Reference time: 0.2937 ms
  Best time: 0.4864 ms
  Registered time: 0.4864 ms
  Registration overhead: -0.0000 ms
m=103112, n=1408, k=2048, l=1
  Reference time: 0.3268 ms
  Best time: 0.4770 ms
  Registered time: 0.4770 ms
  Registration overhead: -0.0000 ms
Saved results to: benchmark_figures_deepseek/benchmark_results.csv

=== Summary ===
Successful: 502/502
Failed: 0/502
Correct best: 502/502
Registered faster than ref: 10/502

=== Generating Figures ===

=== Generating Figures ===

=== Generating Figures ===

=== Summary ===
Successful: 502/502
Failed: 0/502

=== Generating Figures ===
Saved: benchmark_figures_deepseek/benchmark_m95600_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98808_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m95704_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m114680_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m109752_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m79752_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m121496_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97696_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m103640_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m86832_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97864_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m82960_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m91200_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m109240_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m89704_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98568_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m106408_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m100400_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m83376_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m98256_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m115568_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m87928_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m123688_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m54520_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m84856_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90496_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96752_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m102624_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m95112_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m90384_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m80600_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81096_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90760_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m93288_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m72928_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97440_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m77216_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m30928_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98848_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m64280_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m91744_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m82752_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m109688_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m92024_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m12384_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m68024_n2048.png
